Process,TechDescription,Sector,Subsector,Subsubsector
IOTKELC-E,Industry-Other-Elec Heating - Electricity         ,Industry,IndOther,Electric Heating
IOTLELC-E,Industry-Other-Lighting - Electricity             ,Industry,IndOther,Lighting
IOTOELC-E,Industry-Other-Other motive - Electricity         ,Industry,IndOther,Other Motive
IOTPELC-E,Industry-Other-Pumping - Electricity              ,Industry,IndOther,Pumping
IOTRODS-E,Industry-Other-Transport - Oil Diesel - Existing  ,Industry,IndOther,Other
IOTSCOA-E,Industry-Other-boiler/process heating - Coal - Exi,Industry,IndOther,Process Heat 
IOTSELC-E,Industry-Other-boiler/process heating - Electricit,Industry,IndOther,Process Heat 
IOTSGAS-E,Industry-Other-boiler/process heating - Gas - Exis,Industry,IndOther,Process Heat 
IOTSOHF-E,Industry-Other-boiler/process heating - Oil HFO - ,Industry,IndOther,Process Heat 
IOTSOLP-E,Industry-Other-boiler/process heating - Oil LPG - ,Industry,IndOther,Process Heat 
IOTSWAS-E,Industry-Other-boiler/process heating - Waste - Ex,Industry,IndOther,Process Heat 
IPPCHE-E-T1,Industry - Pulp&Paper - Chemical Pulping - Existin,Industry,Pulp_Paper323,Chemical Pulping
IPPCHE-E-T2,Industry - Pulp&Paper - Chemical Pulping - Existin,Industry,Pulp_Paper323,Chemical Pulping
IPPCHE-E,Industry - Pulp&Paper - Chemical Pulping - Existin,Industry,Pulp_Paper323,Chemical Pulping
IPPCHE-N,Industry - Pulp&Paper - Chemical Pulping - New bui,Industry,Pulp_Paper323,Chemical Pulping
IPPCHPGAS01-N,Industry - Pulp&Paper - CHP gas turbine - New     ,Industry,Pulp_Paper323,CHP
IPPCHPGAS02-N,Industry - Pulp&Paper - CHP gas CCGT- New         ,Industry,Pulp_Paper323,CHP
IPPCHPSTM01-N,Industry - Pulp&Paper - CHP Steam turbine - New   ,Industry,Pulp_Paper323,CHP
IPPDIS-E-T1,Industry - Pulp&Paper - Dissolving pulping - Exist,Industry,Pulp_Paper323,Disolving Pulping
IPPDIS-E-T2,Industry - Pulp&Paper - Dissolving pulping - Exist,Industry,Pulp_Paper323,Disolving Pulping
IPPDIS-E,Industry - Pulp&Paper - Dissolving pulping - Exist,Industry,Pulp_Paper323,Disolving Pulping
IPPDIS-N,Industry - Pulp&Paper - Dissolving pulping - New b,Industry,Pulp_Paper323,Disolving Pulping
IPPELCSTM-E,Industry - Pulp&Paper - Steam turbine - Existing  ,Industry,Pulp_Paper323,Other
IPPMCH-E-T1,Industry - Pulp&Paper - Mechanical Pulping - Exist,Industry,Pulp_Paper323,Mechanical Pulping
IPPMCH-E-T2,Industry - Pulp&Paper - Mechanical Pulping - Exist,Industry,Pulp_Paper323,Mechanical Pulping
IPPMCH-E,Industry - Pulp&Paper - Mechanical Pulping - Exist,Industry,Pulp_Paper323,Mechanical Pulping
IPPMCH-N,Industry - Pulp&Paper - Mechanical Pulping - New b,Industry,Pulp_Paper323,Mechanical Pulping
IPPPAP-E-T1,Industry - Pulp&Paper - Paper mill - Existing - EE,Industry,Pulp_Paper323,Paper Mill
IPPPAP-E-T2,Industry - Pulp&Paper - Paper mill - Existing - EE,Industry,Pulp_Paper323,Paper Mill
IPPPAP-E,Industry - Pulp&Paper - Paper mill - Existing     ,Industry,Pulp_Paper323,Paper Mill
IPPPAP-N,Industry - Pulp&Paper - Paper Mill - New build    ,Industry,Pulp_Paper323,Paper Mill
IPPREC-E-T1,Industry - Pulp&Paper - Recovered paper pulping - ,Industry,Pulp_Paper323,Other
IPPREC-E-T2,Industry - Pulp&Paper - Recovered paper pulping - ,Industry,Pulp_Paper323,Other
IPPREC-E,Industry - Pulp&Paper - Recovered paper pulping - ,Industry,Pulp_Paper323,Other
IPPREC-N,Industry - Pulp&Paper - Recovered paper pulping - ,Industry,Pulp_Paper323,Other
IPPSTMBIO-E,Industry - Pulp&Paper - Boiler plant - Biomass fir,Industry,Pulp_Paper323,Boiler Plant
IPPSTMBIO-N,Industry - Pulp&Paper - Boiler plant - Biomass fir,Industry,Pulp_Paper323,Boiler Plant
IPPSTMBLQ-E,Industry - Pulp&Paper - Recovery boiler - Black li,Industry,Pulp_Paper323,Boiler Plant
IPPSTMBLQ-N,Industry - Pulp&Paper - Recovery boiler - Black li,Industry,Pulp_Paper323,Boiler Plant
IPPSTMCOA-E,Industry - Pulp&Paper - Boiler plant - Coal fired ,Industry,Pulp_Paper323,Boiler Plant
IPPSTMCOA-N,Industry - Pulp&Paper - Boiler plant - Coal fired ,Industry,Pulp_Paper323,Boiler Plant
IPPSTMCOAOIL,Industry - Pulp&Paper - Boiler plant - Coal Oil fi,Industry,Pulp_Paper323,Boiler Plant
IPPSTMGAS-E,Industry - Pulp&Paper - Boiler plant - Gas fired  ,Industry,Pulp_Paper323,Boiler Plant
IPPSTMGAS-N,Industry - Pulp&Paper - Boiler plant - Gas fired -,Industry,Pulp_Paper323,Boiler Plant
IPPSTMOIL-N,Industry - Pulp&Paper - Boiler plant - Oil fired -,Industry,Pulp_Paper323,Boiler Plant
MINBIB,Renewable Resource: Biomass bagasse               ,Supply,Extraction,Other
MINBIG,Renewable Resource: Biogas                        ,Supply,Extraction,Other
MINBIO,Renewable Resource: Biomass Other                 ,Supply,Extraction,Other
MINBIW,Renewable Resource: Biomass Wood                  ,Supply,Extraction,Other
MINCLD,Extraction of Coal Discard                        ,Supply,Extraction,Coal_CB
MINCLE-A,Extraction of Coal low grade - existing - Dual Pro,Supply,Extraction,Coal_WB
MINCLE,Extraction of Coal low grade                      ,Supply,Extraction,Coal_CB
MINCLE1,Extraction of Coal low grade - existing - Eskom On,Supply,Extraction,Coal_CB
MINCLE2,Extraction of Coal low grade - existing - Dual Pro,Supply,Extraction,Coal_CB
MINCLE3,Extraction of Coal low grade - existing - Dual Pro,Supply,Extraction,Coal_CB
MINCLN-A,Extraction of Coal low grade - new - Dual Product ,Supply,Extraction,Coal_WB
MINCLN,Extraction of Coal low grade - new - Dual Product ,Supply,Extraction,Coal_CB
MINCLNU-A,Extraction of Coal low grade - new - Dual Product ,Supply,Extraction,Coal_WB
MINCLS-A,Extraction of Coal low grade - Sasol - New - water,Supply,Extraction,Coal_WB
MINCLS,Extraction of Coal low grade - Sasol              ,Supply,Extraction,Coal_CB
MINCOA,Extraction of Coal                                ,Supply,Extraction,Coal_CB
MINGAS,Extraction of Gas Indigenous Coal Bed Methane     ,Supply,Extraction,Gas_Cl
MINGIB,Extraction of Gas Indigenous Ibhubezi             ,Supply,Extraction,Gas_Cl
MINGIC,Extraction of Coastal Gas                         ,Supply,Extraction,Gas_Cl
MINGIH,Extraction of Gas Indigenous Shale                ,Supply,Extraction,Gas_Sl
MINHYD,Renewable Resource: Hydro                         ,Supply,Extraction,Other
MINOCR,Extraction of Oil Crude                           ,Supply,Extraction,Other
MINSOL,Renewable Resource: Solar                         ,Supply,Extraction,Other
MINWAS,Renewable Resource: Waste                         ,Supply,Extraction,Other
MINWAT,Water Supply                                      ,Supply,Extraction,Other
MINWND,Renewable Resource: Wind                          ,Supply,Extraction,Other
MIRCRB,Extraction of Coal for plants in Botswana         ,,,Other
MIRGRM,Extraction of Gas Northern Mozambique             ,,,Other
MIRGRN,Extraction of Gas Namibia                         ,,,Other
MIRGRS,Extraction of Gas Southern Mozambique             ,,,Other
MNZZZ,Backstop for whole system                         ,,,Other
PEXCME,Exports of Export grade Coal                      ,Supply,Exports,Exports
PEXCOA,Exports of Coal                                   ,Supply,Exports,Exports
PEXCOK,Exports of Coal Coking                            ,Supply,Exports,Exports
PEXELC,Exports of Electricity                            ,Supply,Exports,Exports
PEXGAS,Exports of Gas                                    ,Supply,Exports,Exports
PEXOAG,Exports of Oil Av Gasoline                        ,Supply,Exports,Exports
PEXOCR,Exports of Oil Crude                              ,Supply,Exports,Exports
PEXODS,Exports of Oil Diesel                             ,Supply,Exports,Exports
PEXOGS,Exports of Oil Gasoline                           ,Supply,Exports,Exports
PEXOHF,Exports of Oil HFO                                ,Supply,Exports,Exports
PEXOKE,Exports of Oil Kerosene                           ,Supply,Exports,Exports
RHEHBIWSTOV-E,Residential - Space Heating - High Income Electrif,Residential,HighIncome,Space Heating
RHEHCOASTOV-E,Residential - Space Heating - High Income Electrif,Residential,HighIncome,Space Heating
RHEHELCHEATFIN-E,Residential - Space Heating - High Income Electrif,Residential,HighIncome,Space Heating
RHEHGASHEAT-N,Residential - Space Heating - High Income Electrif,Residential,HighIncome,Space Heating
RHEHOKEHEAT-E,Residential - Space Heating - High Income Electrif,Residential,HighIncome,Space Heating
RHEHOLPHEAT-E,Residential - Space Heating - High Income Electrif,Residential,HighIncome,Space Heating
RHEKBIWSTOV-E,Residential - Cooking - High Income Electrified - ,Residential,HighIncome,Cooking
RHEKELCSTOV-E,Residential - Cooking - High Income Electrified - ,Residential,HighIncome,Cooking
RHEKGASSTOV-E,Residential - Cooking - High Income Electrified - ,Residential,HighIncome,Cooking
RHEKOKEPRIMUS-E,Residential - Cooking - High Income Electrified - ,Residential,HighIncome,Cooking
RHEKOLPSTOV-E,Residential - Cooking - High Income Electrified - ,Residential,HighIncome,Cooking
RHELELCINC-E,Residential - Lighting - High Income Electrified -,Residential,HighIncome,Lighting
RHENOKEOTH-E,Residential - Other - High Income Electrified - Oi,Residential,HighIncome,Non Energy
RHEOELCOTH-E,Residential - Other - High Income Electrified - El,Residential,HighIncome,Other
RHERELCREF-E,Residential - Refrigeration - High Income Electrif,Residential,HighIncome,Refrigeration
RHEWELCCHP-N,Residential - Water Heating - High Income Electrif,Residential,HighIncome,Water Heating
RHEWELCGEY-E,Residential - Water Heating - High Income Electrif,Residential,HighIncome,Water Heating
RHEWELCSWH-E,Residential - Water Heating - High Income Electrif,Residential,HighIncome,Water Heating
RHEWGASHEAT-N,Residential - Water Heating - High Income Electrif,Residential,HighIncome,Water Heating
RHEWOLPSTOV-E,Residential - Water Heating - High Income Electrif,Residential,HighIncome,Water Heating
RLEHBIWOPEN-E,Residential - Space Heating - Low Income Electrifi,Residential,LowIncome,Space Heating
RLEHCOABNM-E,Residential - Space Heating - Low Income Electrifi,Residential,LowIncome,Space Heating
RLEHELCHEATBAR-E,Residential - Space Heating - Low Income Electrifi,Residential,LowIncome,Space Heating
RLEHOKEHEAT-E,Residential - Space Heating - Low Income Electrifi,Residential,LowIncome,Space Heating
RLEHOLPHET-E,Residential - Space Heating - Low Income Electrifi,Residential,LowIncome,Space Heating
RLEKBIWBNM-E,Residential - Cooking - Low Income Electrified - B,Residential,LowIncome,Cooking
RLEKCOABNM-E,Residential - Cooking - Low Income Electrified - C,Residential,LowIncome,Cooking
RLEKELCHOT-E,Residential - Cooking - Low Income Electrified - E,Residential,LowIncome,Cooking
RLEKELCMIC-E,Residential - Cooking - Low Income Electrified - E,Residential,LowIncome,Cooking
RLEKELCSTOV-E,Residential - Cooking - Low Income Electrified - E,Residential,LowIncome,Cooking
RLEKOKEWICK-E,Residential - Cooking - Low Income Electrified - O,Residential,LowIncome,Cooking
RLEKOLPRING-E,Residential - Cooking - Low Income Electrified - O,Residential,LowIncome,Cooking
RLELELCINC-E,Residential - Lighting - Low Income Electrified - ,Residential,LowIncome,Lighting
RLENOKEOTH-E,Residential - Other - Low Income Electrified - Oil,Residential,LowIncome,Non Energy
RLEOELCOTH-E,Residential - Other - Low Income Electrified - Ele,Residential,LowIncome,Other
RLERELCREF-E,Residential - Refrigeration - Low Income Electrifi,Residential,LowIncome,Refrigeration
RLEWBIWKETBI-E,Residential - Water Heating - Low Income Electrifi,Residential,LowIncome,Water Heating
RLEWCOAKETCOA-E,Residential - Water Heating - Low Income Electrifi,Residential,LowIncome,Water Heating
RLEWELCGEY-E,Residential - Water Heating - Low Income Electrifi,Residential,LowIncome,Water Heating
RLEWELCKET-E,Residential - Water Heating - Low Income Electrifi,Residential,LowIncome,Water Heating
RLEWELCSWH-E,Residential - Water Heating - Low Income Electrifi,Residential,LowIncome,Water Heating
RLEWOKEKETWI-E,Residential - Water Heating - Low Income Electrifi,Residential,LowIncome,Water Heating
RLEWOLPKETLPG-E,Residential - Water Heating - Low Income Electrifi,Residential,LowIncome,Water Heating
RLNHBIWOPEN-E,Residential - Space Heating - Low Income Non-Elect,Residential,LowIncome,Space Heating
RLNHCOABNM-E,Residential - Space Heating - Low Income Non-Elect,Residential,LowIncome,Space Heating
RLNHOKEHEAT-E,Residential - Space Heating - Low Income Non-Elect,Residential,LowIncome,Space Heating
RLNHOLPHET-E,Residential - Space Heating - Low Income Non-Elect,Residential,LowIncome,Space Heating
RLNKBIWBNM-E,Residential - Cooking - Low Income Non- Electrifie,Residential,LowIncome,Cooking
RLNKCOABNM-E,Residential - Cooking - Low Income Non- Electrifie,Residential,LowIncome,Cooking
RLNKOKEWICK-E,Residential - Cooking - Low Income Non- Electrifie,Residential,LowIncome,Cooking
RLNKOLPRING-E,Residential - Cooking - Low Income Non- Electrifie,Residential,LowIncome,Cooking
RLNLOKEWICK-E,Residential - Lighting - Low Income Non-Electrifie,Residential,LowIncome,Lighting
RLNNOKEOTH-E,Residential - Other - Low Income Non-Electrified -,Residential,LowIncome,Non Energy
RLNWBIWKETBI-E,Residential - Water Heating - Low Income Non-Elect,Residential,LowIncome,Water Heating
RLNWCOABNM-E,Residential - Water Heating - Low Income Non-Elect,Residential,LowIncome,Water Heating
RLNWOKEKETWI-E,Residential - Water Heating - Low Income Non-Elect,Residential,LowIncome,Water Heating
RLNWOLPKETLPG-E,Residential - Water Heating - Low Income Non-Elect,Residential,LowIncome,Water Heating
RMEHBIWSTOV-E,Residential - Space Heating - Middle Income Electr,Residential,MiddleIncome,Space Heating
RMEHCOASTOV-E,Residential - Space Heating - Middle Income Electr,Residential,MiddleIncome,Space Heating
RMEHELCHEATFIN-E,Residential - Space Heating - Middle Income Electr,Residential,MiddleIncome,Space Heating
RMEHGASHEAT-N,Residential - Space Heating - Middle Income Electr,Residential,MiddleIncome,Space Heating
RMEHOKEHEAT-E,Residential - Space Heating - Middle Income Electr,Residential,MiddleIncome,Space Heating
RMEHOLPHEAT-E,Residential - Space Heating - Middle Income Electr,Residential,MiddleIncome,Space Heating
RMEKBIWSTOV-E,Residential - Cooking - Middle Income Electrified ,Residential,MiddleIncome,Cooking
RMEKCOABNM-E,Residential - Cooking - Middle Income Electrified ,Residential,MiddleIncome,Cooking
RMEKELCSTOV-E,Residential - Cooking - Middle Income Electrified ,Residential,MiddleIncome,Cooking
RMEKGASSTOV-E,Residential - Cooking - Middle Income Electrified ,Residential,MiddleIncome,Cooking
RMEKOKEWICK-E,Residential - Cooking - Middle Income Electrified ,Residential,MiddleIncome,Cooking
RMEKOLPSTOV-E,Residential - Cooking - Middle Income Electrified ,Residential,MiddleIncome,Cooking
RMELELCINC-E,Residential - Lighting - Middle Income Electrified,Residential,MiddleIncome,Lighting
RMENOKEOTH-E,Residential - Other - Middle Income Electrified - ,Residential,MiddleIncome,Non Energy
RMEOELCOTH-E,Residential - Other - Middle Income Electrified - ,Residential,MiddleIncome,Other
RMERELCREF-E,Residential - Refrigeration - Middle Income Electr,Residential,MiddleIncome,Refrigeration
RMEWBIWKETBI-E,Residential - Water Heating - Middle Income Electr,Residential,MiddleIncome,Water Heating
RMEWCOASTOV-E,Residential - Water Heating - Middle Income Electr,Residential,MiddleIncome,Water Heating
RMEWELCCHP-N,Residential - Water Heating - Middle Income Electr,Residential,MiddleIncome,Water Heating
RMEWELCGEY-E,Residential - Water Heating - Middle Income Electr,Residential,MiddleIncome,Water Heating
RMEWELCSWH-E,Residential - Water Heating - Middle Income Electr,Residential,MiddleIncome,Water Heating
RMEWGASGEY-N,Residential - Water Heating - Middle Income Electr,Residential,MiddleIncome,Water Heating
RMEWOKEKETPR-E,Residential - Water Heating - Middle Income Electr,Residential,MiddleIncome,Water Heating
RMEWOLPKETLPG-E,Residential - Water Heating - Middle Income Electr,Residential,MiddleIncome,Water Heating
RMNHBIWOPEN-E,Residential - Space Heating - Middle Income Non-El,Residential,MiddleIncome,Space Heating
RMNHCOABNM-E,Residential - Space Heating - Middle Income Non-El,Residential,MiddleIncome,Space Heating
RMNHGASHET-N,Residential - Space Heating - Middle Income Non-El,Residential,MiddleIncome,Space Heating
RMNHOKEHEAT-E,Residential - Space Heating - Middle Income Non-El,Residential,MiddleIncome,Space Heating
RMNHOLPHET-E,Residential - Space Heating - Middle Income Non-El,Residential,MiddleIncome,Space Heating
RMNKBIWBNM-E,Residential - Cooking - Middle Income Non- Electri,Residential,MiddleIncome,Cooking
RMNKCOABNM-E,Residential - Cooking - Middle Income Non- Electri,Residential,MiddleIncome,Cooking
RMNKGASSTOV-N,Residential - Cooking - Middle Income Non- Electri,Residential,MiddleIncome,Cooking
RMNKOKEWICK-E,Residential - Cooking - Middle Income Non- Electri,Residential,MiddleIncome,Cooking
RMNKOLPRING-E,Residential - Cooking - Middle Income Non- Electri,Residential,MiddleIncome,Cooking
RMNLOKEWICK-E,Residential - Lighting - Middle Income Non-Electri,Residential,MiddleIncome,Lighting
RMNNOKEOTH-E,Residential - Other - Middle Income Non-Electrifie,Residential,MiddleIncome,Non Energy
RMNWBIWKETBI-E,Residential - Water Heating - Middle Income Non-El,Residential,MiddleIncome,Water Heating
RMNWCOAKETCOA-E,Residential - Water Heating - Middle Income Non-El,Residential,MiddleIncome,Water Heating
RMNWGASGEY-N,Residential - Water Heating - Middle Income Non-El,Residential,MiddleIncome,Water Heating
RMNWOKEKETWI-E,Residential - Water Heating - Middle Income Non-El,Residential,MiddleIncome,Water Heating
RMNWOLPKETLPG-E,Residential - Water Heating - Middle Income Non-El,Residential,MiddleIncome,Water Heating
TAJETOKE-E,Transport Other -  Aviation Jet Fuel-E            ,Transport,Aviation,Aviation
TAJETOKE-N,Transport Other -  Aviation Jet Fuel Oil LPG-N    ,Transport,Aviation,Aviation
TAOAGOAG-E,Transport Other - Aviation Gasoline-E             ,Transport,Aviation,Aviation
TAOAGOAG-N,Transport Other - Aviation Gasoline T-N           ,Transport,Aviation,Aviation
TFHCV1ELC-N,Transport Freight - HCV1 Electricity-N            ,Transport,FreightRoad,HCV1Electric
TFHCV1GAS-N,Transport Freight - HCV1 Gas-N                    ,Transport,FreightRoad,HCV1Gas
TFHCV1ODS-E,Transport Freight - HCV1 Oil Diesel-E             ,Transport,FreightRoad,HCV1Oil
TFHCV1ODS-N,Transport Freight - HCV1 Oil Diesel-N             ,Transport,FreightRoad,HCV1Oil
TFHCV1OGS-E,Transport Freight - HCV1 Oil Gasoline-E           ,Transport,FreightRoad,HCV1Oil
TFHCV1OGS-N,Transport Freight - HCV1 Oil Gasoline-N           ,Transport,FreightRoad,HCV1Oil
TFHCV2ELC-N,Transport Freight - HCV2 Electricity-N            ,Transport,FreightRoad,HCV2-5Electric
TFHCV2GAS-N,Transport Freight - HCV2 Gas-N                    ,Transport,FreightRoad,HCV2-5Gas
TFHCV2HGN-N,Transport Freight - HCV2 Hydrogen-N               ,Transport,FreightRoad,HCV2-5Hydrogen
TFHCV2ODS-E,Transport Freight - HCV2 Oil Diesel-E             ,Transport,FreightRoad,HCV2-5Oil
TFHCV2ODS-N,Transport Freight - HCV2 Oil Diesel-N             ,Transport,FreightRoad,HCV2-5Oil
TFHCV3ELC-N,Transport Freight - HCV3 Electricity-N            ,Transport,FreightRoad,HCV2-5Electric
TFHCV3GAS-N,Transport Freight - HCV3 Gas-N                    ,Transport,FreightRoad,HCV2-5Gas
TFHCV3HGN-N,Transport Freight - HCV3 Hydrogen-N               ,Transport,FreightRoad,HCV2-5Hydrogen
TFHCV3ODS-E,Transport Freight - HCV3 Oil Diesel-E             ,Transport,FreightRoad,HCV2-5Oil
TFHCV3ODS-N,Transport Freight - HCV3 Oil Diesel-N             ,Transport,FreightRoad,HCV2-5Oil
TFHCV4GAS-N,Transport Freight - HCV4 Gas-N                    ,Transport,FreightRoad,HCV2-5Gas
TFHCV4HGN-N,Transport Freight - HCV4 Hydrogen-N               ,Transport,FreightRoad,HCV2-5Hydrogen
TFHCV4ODS-E,Transport Freight - HCV4 Oil Diesel-E             ,Transport,FreightRoad,HCV2-5Oil
TFHCV4ODS-N,Transport Freight - HCV4 Oil Diesel-N             ,Transport,FreightRoad,HCV2-5Oil
TFHCV5GAS-N,Transport Freight - HCV5 Gas-N                    ,Transport,FreightRoad,HCV2-5Gas
TFHCV5HGN-N,Transport Freight - HCV5 Hydrogen-N               ,Transport,FreightRoad,HCV2-5Hydrogen
TFHCV5ODS-E,Transport Freight - HCV5 Oil Diesel-E             ,Transport,FreightRoad,HCV2-5Oil
TFHCV5ODS-N,Transport Freight - HCV5 Oil Diesel-N             ,Transport,FreightRoad,HCV2-5Oil
TFHCV6GAS-N,Transport Freight - HCV6 Gas-N                    ,Transport,FreightRoad,HCV6-9Gas
TFHCV6HGN-N,Transport Freight - HCV6 Hydrogen-N               ,Transport,FreightRoad,HCV6-9Hydrogen
TFHCV6ODS-E,Transport Freight - HCV6 Oil Diesel-E             ,Transport,FreightRoad,HCV6-9Oil
TFHCV6ODS-N,Transport Freight - HCV6 Oil Diesel-N             ,Transport,FreightRoad,HCV6-9Oil
TFHCV7GAS-N,Transport Freight - HCV7 Gas-N                    ,Transport,FreightRoad,HCV6-9Gas
TFHCV7HGN-N,Transport Freight - HCV7 Hydrogen-N               ,Transport,FreightRoad,HCV6-9Hydrogen
TFHCV7ODS-E,Transport Freight - HCV7 Oil Diesel-E             ,Transport,FreightRoad,HCV6-9Oil
TFHCV7ODS-N,Transport Freight - HCV7 Oil Diesel-N             ,Transport,FreightRoad,HCV6-9Oil
TFHCV8GAS-N,Transport Freight - HCV8 Gas-N                    ,Transport,FreightRoad,HCV6-9Gas
TFHCV8HGN-N,Transport Freight - HCV8 Hydrogen-N               ,Transport,FreightRoad,HCV6-9Hydrogen
TFHCV8ODS-E,Transport Freight - HCV8 Oil Diesel-E             ,Transport,FreightRoad,HCV6-9Oil
TFHCV8ODS-N,Transport Freight - HCV8 Oil Diesel-N             ,Transport,FreightRoad,HCV6-9Oil
TFHCV9GAS-N,Transport Freight - HCV9 Gas-N                    ,Transport,FreightRoad,HCV6-9Gas
TFHCV9HGN-N,Transport Freight - HCV9 Hydrogen-N               ,Transport,FreightRoad,HCV6-9Hydrogen
TFHCV9ODS-E,Transport Freight - HCV9 Oil Diesel-E             ,Transport,FreightRoad,HCV6-9Oil
TFHCV9ODS-N,Transport Freight - HCV9 Oil Diesel-N             ,Transport,FreightRoad,HCV6-9Oil
TFLCVELC-N,Transport Freight - LCV Electricity-N             ,Transport,FreightRoad,LCVElectric
TFLCVGAS-N,Transport Freight - LCV Gas-N                     ,Transport,FreightRoad,LCVGas
TFLCVODS-E,Transport Freight - LCV Oil Diesel-E              ,Transport,FreightRoad,LCVOil
TFLCVODS-N,Transport Freight - LCV Oil Diesel-N              ,Transport,FreightRoad,LCVOil
TFLCVOGS-E,Transport Freight - LCV Oil Gasoline-E            ,Transport,FreightRoad,LCVOil
TFLCVOGS-N,Transport Freight - LCV Oil Gasoline-N            ,Transport,FreightRoad,LCVOil
TFPIPELC-E,Transport Other - Pipeline Electricity-E          ,Transport,FreightPip,FreightPip
TFPIPELC-N,Transport Other - Pipeline Electricity-N          ,Transport,FreightPip,FreightPip
TFRCOELC-E,Transport Freight - Rail Corridor Electricity-E   ,Transport,FreightRail,FreightRail
TFRCOELC-N,Transport Freight - Rail Corridor Electricity-N   ,Transport,FreightRail,FreightRail
TFRCOGAS-N,Transport Freight - Rail Corridor Gas-N           ,Transport,FreightRail,FreightRail
TFRCOODS-E,Transport Freight - Rail Corridor Oil Diesel-E    ,Transport,FreightRail,FreightRail
TFREXELC-N,Transport Freight - Rail Export (bulk mining) Elec,Transport,FreightRail,FreightRail
TFREXELCR-E,Transport Freight - Rail Export (bulk mining) Elec,Transport,FreightRail,FreightRail
TFREXODSR-E,Transport Freight - Rail Export (bulk mining) Oil ,Transport,FreightRail,FreightRail
TFROTELC-E,Transport Freight - Rail Other Electricity-E      ,Transport,FreightRail,FreightRail
TFROTELC-N,Transport Freight - Rail Other Electricity-N      ,Transport,FreightRail,FreightRail
TFROTODS-E,Transport Freight - Rail Other Oil Diesel-E       ,Transport,FreightRail,FreightRail
TPPRCARBGS-N,Transport Passenger Car Priv.Veh. Oil Blended Gaso,Transport,PassPriv,CarFlex
TPPRCARELC-N,Transport Passenger Car Priv.Veh. Electricity-N   ,Transport,PassPriv,CarElectric
TPPRCARGAS-N,Transport Passenger Car Priv.Veh. Gas-N           ,Transport,PassPriv,CarGas
TPPRCARHGNF-N,Transport Passenger Car Priv.Veh. Hydrogen Fuel Ce,Transport,PassPriv,CarHydrogen
TPPRCARODS-E,Transport Passenger Car Priv.Veh. Oil Diesel-E    ,Transport,PassPriv,CarOil
TPPRCARODS-N,Transport Passenger Car Priv.Veh. Oil Diesel-N    ,Transport,PassPriv,CarOil
TPPRCARODSH-N,Transport Passenger Car Priv.Veh. Oil Diesel Hybri,Transport,PassPriv,CarHybrid
TPPRCAROGS-E,Transport Passenger Car Priv.Veh. Oil Gasoline-E  ,Transport,PassPriv,CarOil
TPPRCAROGS-N,Transport Passenger Car Priv.Veh. Oil Gasoline-N  ,Transport,PassPriv,CarOil
TPPRCAROGSH-E,Transport Passenger Car Priv.Veh. Oil GasolineHybr,Transport,PassPriv,CarOil
TPPRCAROGSH-N,Transport Passenger Car Priv.Veh. Oil Gasoline Hyb,Transport,PassPriv,CarHybrid
TPPRMOTOGS-E,Transport Passenger Moto Priv.Veh. Oil Gasoline-E ,Transport,PassPriv,MotoOil
TPPRMOTOGS-N,Transport Passenger Moto Priv.Veh. Oil Gasoline-N ,Transport,PassPriv,MotoOil
TPPRSUVBGS-N,Transport Passenger SUV Priv.Veh. Oil Blended Gaso,Transport,PassPriv,SUVFlex
TPPRSUVGAS-N,Transport Passenger SUV Priv.Veh. Gas-N           ,Transport,PassPriv,SUVGas
TPPRSUVHGNF-N,Transport Passenger SUV Priv.Veh. Hydrogen Fuel Ce,Transport,PassPriv,SUVHydrogen
TPPRSUVODS-E,Transport Passenger SUV Priv.Veh. Oil Diesel-E    ,Transport,PassPriv,SUVOil
TPPRSUVODS-N,Transport Passenger SUV Priv.Veh. Oil Diesel-N    ,Transport,PassPriv,SUVOil
TPPRSUVODSH-N,Transport Passenger SUV Priv.Veh. Oil Diesel Hybri,Transport,PassPriv,SUVHybrid
TPPRSUVOGS-E,Transport Passenger SUV Priv.Veh. Oil Gasoline-E  ,Transport,PassPriv,SUVOil
TPPRSUVOGS-N,Transport Passenger SUV Priv.Veh. Oil Gasoline-N  ,Transport,PassPriv,SUVOil
TPPRSUVOGSH-N,Transport Passenger SUV Priv.Veh. Oil Gasoline Hyb,Transport,PassPriv,SUVHybrid
TPPUBRTBGS-N,Transport Passenger BRT Oil Blended Gasoline-Ethan,Transport,PassPub,BRTFlex
TPPUBRTELC-N,Transport Passenger BRT Electricity-N             ,Transport,PassPub,BRTElc
TPPUBRTGAS-N,Transport Passenger BRT Gas-N                     ,Transport,PassPub,BRTGas
TPPUBRTHGNF-N,Transport Passenger BRT Hydrogen-N                ,Transport,PassPub,BRTHydrogen
TPPUBRTODS-N,Transport Passenger BRT Oil Diesel-N              ,Transport,PassPub,BRTOil
TPPUBUSBGS-N,Transport Passenger Bus Oil Blended Gasoline-Ethan,Transport,PassPub,BusFlex
TPPUBUSELC-N,Transport Passenger Bus Electricity-N             ,Transport,PassPub,BusElectric
TPPUBUSGAS-N,Transport Passenger Bus Gas-N                     ,Transport,PassPub,BusGas
TPPUBUSHGNF-N,Transport Passenger Bus Hydrogen Fuel Cell-N      ,Transport,PassPub,BusHydrogen
TPPUBUSODS-E,Transport Passenger Bus Oil Diesel-E              ,Transport,PassPub,BusOil
