Commodity,Commodity_Name
INMELC,Electricity
ICPELC,Electricity
ICPGAS,GAS
IFBELC,Electricity
IFBGAS,GAS
IMIELC,Electricity
IMIGAS,GAS
INFELC,Electricity
INFGAS,GAS
IOTELC,Electricity
IOTGAS,GAS
ELCTRANS,Electricity
PWRENV,
PWREPE,Electricity
PWREPN,Electricity
RESCH4,
RESCO2,
RESN2O,
RESNOX,
RESSOX,
INDSHT1,
LNDAGR,
LNDAGRBBE,
LNDAGRBCA,
LNDAGRBSR,
LNDAGRBSY,
PWRCLE-A,Coal
CLE-A,Coal
CLEC,Coal
CLEC-A,Coal
CLS,Coal
CLS-A,Coal
CME,Coal
CME-R,Coal
UPSCLE-A,Coal
GIHE,GAS
